GDP,Family,Life Expectancy,Freedom,Trust,Score,Region
0.37545,1.04103,0.07612,0.31767,0.12504,4.898,8.0
0.89537,1.17202,0.66825,0.57672,0.14234,4.885,4.0
0.59066,0.73803,0.54909,0.59591,0.24249,4.876,5.0
0.82819,1.3006,0.60268,0.43626,0.02666,4.874,7.0
0.71206,1.07284,0.07566,0.30658,0.0306,4.867,8.0
1.15406,0.92933,0.88213,0.07699,0.01397,4.857,0.0
1.02564,0.80001,0.83947,0.33916,0.04582,4.839,3.0
1.12094,1.20215,0.75905,0.32112,0.02758,4.8,6.0
0.59532,0.95348,0.6951,0.40148,0.06825,4.788,4.0
0.39047,0.85563,0.57379,0.47216,0.15072,4.786,6.0
0.88113,0.60429,0.73793,0.26268,0.06358,4.739,3.0
0.59867,0.92558,0.66015,0.24499,0.12905,4.715,3.0
0.39753,0.43106,0.60164,0.4082,0.12569,4.694,9.0
1.0088,0.54447,0.69805,0.30033,0.05863,4.686,3.0
0.79907,1.20278,0.6739,0.25123,0.02961,4.681,6.0
0.98549,0.81889,0.60237,0.0,0.13788,4.677,3.0
0.92049,1.18468,0.27688,0.33207,0.08884,4.642,8.0
0.54558,0.67954,0.40132,0.42342,0.04355,4.633,8.0
0.271,1.03276,0.33475,0.25861,0.08079,4.61,8.0
0.0712,0.78968,0.34201,0.28531,0.06232,4.571,8.0
0.64499,0.38174,0.51529,0.39786,0.08492,4.565,9.0
0.52107,1.01404,0.36878,0.10081,0.1466,4.55,8.0
0.26673,0.74302,0.38847,0.24425,0.17175,4.518,4.0
0.0,1.0012,0.09806,0.22605,0.07625,4.517,8.0
0.35997,0.86449,0.56874,0.38282,0.05907,4.514,9.0
0.19073,0.60406,0.44055,0.4345,0.15048,4.512,8.0
0.33024,0.95571,0.0,0.4084,0.08786,4.507,8.0
0.45407,0.86908,0.35874,0.24232,0.17461,4.436,8.0
0.36471,0.99876,0.41435,0.42215,0.05839,4.419,8.0
0.44025,0.59207,0.36291,0.46074,0.28105,4.369,8.0
0.76821,0.77711,0.7299,0.19847,0.039,4.35,6.0
0.99355,1.10464,0.04776,0.49495,0.12474,4.332,8.0
0.27108,0.70905,0.48246,0.44017,0.19034,4.307,5.0
0.7419,0.38562,0.72926,0.40577,0.38331,4.297,6.0
0.01604,0.41134,0.22562,0.43054,0.06977,4.292,8.0
0.83524,1.01905,0.70806,0.53726,0.09179,4.271,9.0
0.4225,0.88767,0.23402,0.49309,0.05786,4.252,8.0
1.01216,1.10614,0.76649,0.30587,0.00872,4.218,6.0
0.8818,0.747,0.61712,0.17288,0.06324,4.194,3.0
0.54649,0.68093,0.40064,0.35571,0.07854,4.077,3.0
0.75778,0.8604,0.16683,0.10384,0.07122,4.033,8.0
0.26074,1.03526,0.20583,0.38857,0.12352,3.995,8.0
0.67866,0.6629,0.31051,0.41466,0.11686,3.989,8.0
0.23906,0.79273,0.36315,0.22917,0.199,3.956,8.0
0.21102,1.13299,0.33861,0.45727,0.07267,3.931,8.0
0.36498,0.97619,0.4354,0.36772,0.10713,3.904,8.0
1.06024,0.90528,0.43372,0.31914,0.11091,3.896,8.0
0.0694,0.77265,0.29707,0.47692,0.15639,3.845,8.0
0.46038,0.62736,0.61114,0.66246,0.07247,3.819,5.0
0.2852,1.00268,0.38215,0.32878,0.05747,3.781,8.0
0.20824,0.66801,0.46721,0.19184,0.08124,3.681,8.0
0.0785,0.0,0.06699,0.48879,0.08289,3.678,8.0
0.34193,0.76062,0.1501,0.23501,0.05269,3.667,8.0
0.17417,0.46475,0.24009,0.37725,0.12139,3.656,8.0
0.46534,0.77115,0.15185,0.46866,0.17922,3.655,8.0
0.25812,0.85188,0.27125,0.39493,0.12832,3.587,8.0
0.31982,0.30285,0.30335,0.23414,0.09719,3.575,9.0
0.22208,0.7737,0.42864,0.59201,0.55191,3.465,8.0
0.28665,0.35386,0.3191,0.4845,0.0801,3.34,8.0
0.6632,0.47489,0.72193,0.15684,0.18906,3.006,3.0
0.0153,0.41587,0.22396,0.1185,0.10062,2.905,8.0
0.20868,0.13995,0.28443,0.36453,0.10731,2.839,8.0
1.44178,1.16374,0.79504,0.57941,0.44453,7.526,0.0
1.52733,1.14524,0.86303,0.58557,0.41203,7.509,0.0
1.42666,1.18326,0.86733,0.56624,0.14975,7.501,0.0
1.57744,1.1269,0.79579,0.59609,0.35776,7.498,0.0
1.40598,1.13464,0.81091,0.57104,0.41004,7.413,0.0
1.44015,1.0961,0.8276,0.5737,0.31329,7.404,1.0
1.46468,1.02912,0.81231,0.55211,0.29927,7.339,0.0
1.36066,1.17278,0.83096,0.58147,0.41904,7.334,2.0
1.44443,1.10476,0.8512,0.56837,0.32331,7.313,2.0
1.45181,1.08764,0.83121,0.58218,0.40867,7.291,0.0
1.33766,0.99537,0.84917,0.36432,0.08728,7.267,3.0
1.45038,1.08383,0.80565,0.54355,0.21348,7.119,0.0
1.50796,1.04782,0.779,0.48163,0.14868,7.104,1.0
1.06879,1.02152,0.76146,0.55225,0.10547,7.087,4.0
1.35943,1.08113,0.77758,0.46823,0.12275,7.039,4.0
1.44787,1.09774,0.81487,0.53466,0.28551,6.994,0.0
1.08754,1.03938,0.61415,0.40425,0.14166,6.952,4.0
1.42539,1.05249,0.81959,0.51354,0.26248,6.929,0.0
1.48341,1.16157,0.81455,0.54008,0.29754,6.907,0.0
1.69752,1.03999,0.84542,0.5487,0.35329,6.871,0.0
1.11508,0.7146,0.71143,0.37709,0.18355,6.778,4.0
1.64555,0.86758,0.94719,0.4877,0.46987,6.739,5.0
1.40283,1.08672,0.80991,0.50036,0.27399,6.725,0.0
1.2167,0.90587,0.81883,0.37789,0.11451,6.705,4.0
1.18306,0.98912,0.70835,0.48927,0.08423,6.701,4.0
1.15137,1.06612,0.69711,0.42284,0.07296,6.65,4.0
1.30915,1.00793,0.76376,0.41418,0.03986,6.596,6.0
1.57352,0.87114,0.72993,0.56215,0.35561,6.573,3.0
1.18157,1.03143,0.72183,0.54388,0.21394,6.545,4.0
1.30782,1.09879,0.80315,0.54994,0.17554,6.488,0.0
1.03032,1.02169,0.59659,0.44735,0.05399,6.481,4.0
1.39488,1.00508,0.83795,0.46562,0.17808,6.478,0.0
1.0893,1.04477,0.64915,0.49553,0.02833,6.474,5.0
1.48953,0.84829,0.59267,0.37904,0.30008,6.379,3.0
1.39729,0.92624,0.79565,0.32377,0.0663,6.379,7.0
1.82427,0.87964,0.71723,0.56679,0.48049,6.375,3.0
1.34253,1.12945,0.87896,0.37545,0.06137,6.361,0.0
1.05266,0.83309,0.61804,0.21006,0.16157,6.355,3.0
0.83454,0.87119,0.54039,0.50379,0.08701,6.324,4.0
1.09686,0.77866,0.50933,0.52234,0.12692,6.269,4.0
1.61714,0.87758,0.63569,0.43166,0.23669,6.239,3.0
1.44024,0.94397,0.65696,0.47375,0.25772,6.218,3.0
1.32572,0.98569,0.52608,0.48453,0.01241,6.168,4.0
1.13367,1.03302,0.61904,0.19847,0.08304,6.084,4.0
1.27973,1.08268,0.70367,0.23391,0.02947,6.078,6.0
0.8737,0.80975,0.596,0.37269,0.10613,6.068,4.0
1.25142,0.88025,0.62366,0.39031,0.09081,6.005,5.0
0.69384,0.89521,0.65213,0.46582,0.16292,5.992,4.0
