GDP,Family,Life Expectancy,Freedom,Trust,Score,2015,2016,2017,2018,2019,Western Europe,North America,Australia and New Zealand,Middle East and Northern Africa,Latin America and Caribbean,Southeastern Asia,Central and Eastern Europe,Eastern Asia,Sub-Saharan Africa,Southern Asia
0.75985,1.30477,0.66098,0.53899,0.08242,5.878,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.12254,1.12241,0.64368,0.51649,0.08454,5.855,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.18498,1.27385,0.87337,0.60855,0.03787,5.848,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.14723,1.25745,0.73128,0.21342,0.01031,5.833,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.59325,1.14184,0.74314,0.55475,0.19317,5.828,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.90019,0.97459,0.73017,0.41496,0.05989,5.824,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.03192,1.23289,0.73608,0.37938,0.1909,5.813,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.12555,1.27948,0.77903,0.53122,0.04212,5.791,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.12486,1.07023,0.72394,0.53024,0.10501,5.77,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.08254,0.79624,0.78805,0.25883,0.0243,5.759,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.13145,1.11862,0.7038,0.41668,0.11023,5.754,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.13764,1.23617,0.66926,0.36679,0.03005,5.716,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.81038,1.15102,0.68741,0.50442,0.02299,5.709,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.20806,1.07008,0.92356,0.49027,0.1428,5.695,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.20813,0.89318,0.92356,0.40672,0.06146,5.689,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.93929,1.07772,0.61766,0.28579,0.17383,5.605,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.80148,0.81198,0.63132,0.24749,0.04741,5.589,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
