GDP,Family,Life Expectancy,Freedom,Trust,Score,Region
0.138,0.774,0.366,0.318,0.102,4.628,8.0
0.331,1.056,0.38,0.255,0.113,4.587,8.0
0.85,1.055,0.815,0.283,0.064,4.559,6.0
1.1,0.842,0.785,0.305,0.125,4.548,3.0
0.38,0.829,0.375,0.332,0.086,4.534,8.0
0.886,0.666,0.752,0.346,0.164,4.519,6.0
0.308,0.939,0.428,0.382,0.167,4.516,
0.512,0.983,0.581,0.431,0.053,4.509,8.0
0.57,1.167,0.489,0.066,0.088,4.49,8.0
0.204,0.986,0.39,0.494,0.138,4.466,8.0
0.921,1.0,0.815,0.167,0.055,4.461,3.0
0.562,0.928,0.723,0.527,0.143,4.456,9.0
1.043,0.98,0.574,0.241,0.089,4.437,3.0
0.094,1.125,0.357,0.269,0.053,4.418,8.0
0.385,1.105,0.308,0.327,0.052,4.39,8.0
0.268,0.841,0.242,0.309,0.045,4.374,8.0
0.949,1.265,0.831,0.47,0.047,4.366,9.0
0.71,1.181,0.555,0.525,0.172,4.36,5.0
0.35,0.766,0.192,0.174,0.078,4.35,8.0
0.82,1.39,0.739,0.178,0.01,4.332,6.0
0.336,1.033,0.532,0.344,0.1,4.286,8.0
0.811,1.149,0.0,0.313,0.135,4.212,8.0
0.332,1.069,0.443,0.356,0.06,4.189,8.0
0.913,1.039,0.644,0.241,0.067,4.166,3.0
0.578,1.058,0.426,0.431,0.087,4.107,8.0
0.275,0.572,0.41,0.293,0.085,4.085,8.0
0.755,0.765,0.588,0.498,0.085,4.015,9.0
0.073,0.922,0.443,0.37,0.033,3.975,8.0
0.274,0.757,0.505,0.142,0.078,3.973,8.0
0.274,0.916,0.555,0.148,0.041,3.933,8.0
0.489,1.169,0.168,0.359,0.093,3.802,8.0
0.046,0.447,0.38,0.22,0.18,3.775,8.0
0.366,1.114,0.433,0.361,0.089,3.663,8.0
0.323,0.688,0.449,0.026,0.11,3.597,4.0
1.041,1.145,0.538,0.455,0.1,3.488,8.0
0.619,0.378,0.44,0.013,0.141,3.462,3.0
0.191,0.56,0.495,0.443,0.089,3.41,8.0
0.287,1.163,0.463,0.143,0.077,3.38,3.0
0.359,0.711,0.614,0.555,0.411,3.334,8.0
0.476,0.885,0.499,0.417,0.147,3.231,8.0
0.35,0.517,0.361,0.0,0.025,3.203,9.0
0.026,0.0,0.105,0.225,0.035,3.083,8.0
0.306,0.575,0.295,0.01,0.091,2.853,8.0
