GDP,Family,Life Expectancy,Freedom,Trust,Score,Region
1.305,1.592,0.874,0.681,0.393,7.632,0.0
1.456,1.582,0.861,0.686,0.34,7.594,0.0
1.351,1.59,0.868,0.683,0.408,7.555,0.0
1.343,1.644,0.914,0.677,0.138,7.495,0.0
1.42,1.549,0.927,0.66,0.357,7.487,0.0
1.361,1.488,0.878,0.638,0.295,7.441,0.0
1.33,1.532,0.896,0.653,0.291,7.328,1.0
1.268,1.601,0.876,0.669,0.389,7.324,2.0
1.355,1.501,0.913,0.659,0.383,7.314,0.0
1.34,1.573,0.91,0.647,0.302,7.272,2.0
1.244,1.433,0.888,0.464,0.082,7.19,0.0
1.341,1.504,0.891,0.617,0.224,7.139,0.0
1.01,1.459,0.817,0.632,0.101,7.072,4.0
1.448,1.583,0.876,0.614,0.306,6.977,0.0
1.34,1.474,0.861,0.586,0.28,6.965,0.0
1.324,1.483,0.894,0.583,0.24,6.927,0.0
1.576,1.52,0.896,0.632,0.321,6.91,0.0
1.398,1.471,0.819,0.547,0.133,6.886,1.0
1.301,1.559,0.883,0.533,0.272,6.814,3.0
2.096,0.776,0.67,0.284,,6.774,3.0
1.233,1.489,0.854,0.543,0.034,6.711,6.0
1.27,1.525,0.884,0.645,0.142,6.627,0.0
1.293,1.466,0.908,0.52,0.176,6.489,0.0
1.038,1.252,0.761,0.479,0.095,6.488,4.0
1.131,1.331,0.808,0.431,0.061,6.476,4.0
1.365,1.436,0.857,0.418,0.078,6.441,7.0
1.112,1.438,0.759,0.597,0.063,6.43,4.0
0.986,1.474,0.675,0.493,0.088,6.419,4.0
1.073,1.468,0.744,0.57,0.054,6.388,4.0
0.781,1.268,0.608,0.604,0.071,6.382,4.0
1.093,1.459,0.771,0.625,0.155,6.379,4.0
1.649,1.303,0.748,0.654,0.171,6.374,3.0
1.379,1.331,0.633,0.509,0.127,6.371,3.0
1.529,1.451,1.008,0.631,0.457,6.343,5.0
1.161,1.258,0.669,0.356,0.059,6.322,5.0
1.251,1.538,0.965,0.449,0.074,6.31,0.0
0.96,1.439,0.635,0.531,0.039,6.26,4.0
1.223,1.492,0.564,0.575,0.019,6.192,
1.21,1.537,0.776,0.354,0.014,6.173,6.0
0.806,1.231,0.639,0.461,0.082,6.167,4.0
0.668,1.319,0.7,0.527,0.128,6.141,4.0
1.176,1.448,0.781,0.546,0.064,6.123,6.0
1.338,1.366,0.698,0.594,0.123,6.105,3.0
0.719,1.584,0.605,0.724,0.259,6.096,6.0
1.474,1.301,0.675,0.554,0.106,6.083,3.0
1.016,1.417,0.707,0.637,0.029,6.072,5.0
1.264,1.501,0.946,0.281,0.028,6.0,0.0
0.889,1.33,0.736,0.556,0.12,5.973,4.0
0.807,1.101,0.474,0.593,0.089,5.956,
1.197,1.527,0.716,0.35,0.006,5.952,6.0
1.219,1.506,0.856,0.633,0.051,5.948,6.0
1.116,1.219,0.726,0.528,0.001,5.945,6.0
1.148,1.454,0.671,0.363,0.066,5.933,6.0
1.294,1.462,0.988,0.553,0.15,5.915,7.0
1.09,1.387,0.684,0.584,0.05,5.891,8.0
0.819,1.493,0.693,0.575,0.031,5.89,4.0
1.266,1.204,0.955,0.244,0.051,5.875,7.0
1.229,1.211,0.909,0.495,0.154,5.835,
1.151,1.479,0.599,0.399,0.025,5.81,6.0
1.143,1.516,0.631,0.454,0.121,5.79,6.0
1.229,1.191,0.909,0.423,0.035,5.762,0.0
0.751,1.223,0.508,0.606,0.054,5.752,4.0
1.2,1.532,0.737,0.553,0.174,5.739,6.0
0.835,1.522,0.615,0.541,0.074,5.681,4.0
0.934,1.249,0.674,0.53,0.034,5.663,4.0
0.855,1.23,0.578,0.448,0.023,5.662,6.0
0.657,1.301,0.62,0.232,0.0,5.64,6.0
1.016,1.533,0.517,0.417,0.037,5.636,6.0
1.171,1.401,0.732,0.259,0.022,5.62,6.0
0.985,1.35,0.553,0.496,0.148,5.566,3.0
0.775,1.312,0.513,0.643,0.105,5.524,5.0
0.62,1.205,0.622,0.459,0.074,5.504,4.0
1.039,1.498,0.7,0.307,0.154,5.483,6.0
1.148,1.38,0.686,0.324,0.109,5.483,3.0
0.652,0.81,0.424,0.334,0.113,5.472,9.0
1.405,1.29,1.03,0.524,0.291,5.43,7.0
1.188,1.429,0.884,0.562,0.017,5.41,0.0
0.975,1.369,0.685,0.288,0.043,5.398,6.0
1.154,1.202,0.879,0.131,0.044,5.358,0.0
0.965,1.179,0.785,0.503,0.136,5.358,3.0
1.017,1.279,0.729,0.259,0.081,5.347,6.0
1.115,1.161,0.737,0.38,0.039,5.321,6.0
0.982,1.441,0.614,0.578,0.106,5.302,4.0
0.979,1.154,0.687,0.077,0.135,5.295,3.0
0.779,0.797,0.669,0.46,0.074,5.254,3.0
0.989,1.142,0.799,0.597,0.103,5.246,7.0
1.024,1.161,0.603,0.43,0.176,5.201,6.0
0.474,1.166,0.598,0.292,0.034,5.199,6.0
0.959,1.239,0.691,0.394,0.052,5.185,6.0
0.822,1.265,0.645,0.468,0.134,5.161,3.0
