GDP,Family,Life Expectancy,Freedom,Trust,Score,Region
0.689,1.172,0.048,0.462,0.032,5.155,8.0
0.53,1.416,0.594,0.54,0.035,5.131,6.0
0.915,1.078,0.758,0.28,0.0,5.129,6.0
0.914,1.517,0.575,0.395,0.032,5.125,7.0
0.715,1.365,0.702,0.618,0.079,5.103,5.0
0.899,1.215,0.522,0.538,0.018,5.093,5.0
0.796,1.335,0.527,0.541,0.171,5.082,9.0
0.0,0.712,0.115,0.674,0.282,4.982,
0.535,0.891,0.182,0.454,0.043,4.975,8.0
1.054,1.515,0.712,0.359,0.009,4.933,6.0
0.425,1.228,0.539,0.526,0.078,4.88,9.0
0.996,1.469,0.657,0.133,0.052,4.806,4.0
1.036,1.164,0.404,0.356,0.052,4.758,8.0
0.642,1.217,0.602,0.266,0.076,4.743,3.0
0.94,1.41,0.33,0.516,0.056,4.724,8.0
1.059,0.771,0.691,0.459,0.129,4.707,3.0
0.541,0.872,0.08,0.467,0.103,4.671,8.0
0.592,0.896,0.337,0.499,0.029,4.657,8.0
0.429,1.117,0.433,0.406,0.082,4.631,8.0
0.72,1.034,0.441,0.626,0.174,4.623,5.0
0.9,0.906,0.69,0.271,0.063,4.592,3.0
0.916,0.817,0.79,0.419,0.032,4.586,6.0
0.256,0.813,0.0,0.355,0.053,4.571,8.0
0.682,0.811,0.343,0.514,0.077,4.559,8.0
0.532,0.85,0.579,0.58,0.144,4.5,9.0
0.918,1.314,0.672,0.585,0.05,4.471,9.0
1.01,0.971,0.536,0.304,0.095,4.456,3.0
0.37,1.233,0.152,0.367,0.056,4.447,8.0
0.874,1.281,0.365,0.519,0.064,4.441,
0.549,1.088,0.457,0.696,0.065,4.433,5.0
0.314,1.097,0.254,0.312,0.128,4.424,8.0
0.885,1.025,0.553,0.312,0.107,4.419,3.0
0.198,0.902,0.173,0.531,0.158,4.417,8.0
0.493,1.048,0.454,0.504,0.055,4.41,8.0
0.562,1.047,0.295,0.503,0.082,4.377,8.0
0.557,1.245,0.292,0.129,0.093,4.356,8.0
0.308,0.95,0.391,0.452,0.146,4.35,8.0
0.853,0.592,0.643,0.375,0.215,4.34,6.0
0.816,0.99,0.666,0.26,0.028,4.321,6.0
0.682,1.174,0.429,0.58,0.178,4.308,5.0
0.358,0.907,0.053,0.189,0.06,4.301,8.0
0.069,1.136,0.204,0.312,0.052,4.245,8.0
0.721,0.747,0.485,0.539,0.093,4.19,9.0
0.131,0.867,0.221,0.39,0.099,4.166,8.0
0.322,1.09,0.237,0.45,0.061,4.161,8.0
0.378,0.372,0.24,0.44,0.067,4.141,8.0
0.605,1.24,0.312,0.016,0.082,4.139,8.0
0.793,1.413,0.609,0.163,0.011,4.103,6.0
0.259,0.474,0.253,0.434,0.101,3.999,8.0
0.344,0.792,0.211,0.394,0.094,3.964,8.0
0.472,1.215,0.079,0.423,0.112,3.808,8.0
0.73,1.125,0.269,0.0,0.061,3.795,8.0
0.262,0.908,0.402,0.221,0.049,3.774,8.0
0.357,1.094,0.248,0.406,0.099,3.692,8.0
0.332,0.537,0.255,0.085,0.036,3.632,9.0
1.017,1.174,0.417,0.557,0.092,3.59,8.0
0.186,0.541,0.306,0.531,0.08,3.587,8.0
0.315,0.714,0.289,0.025,0.104,3.582,4.0
0.076,0.858,0.267,0.419,0.03,3.495,8.0
0.689,0.382,0.539,0.088,0.144,3.462,3.0
0.332,0.896,0.4,0.636,0.444,3.408,8.0
0.442,1.073,0.343,0.244,0.064,3.355,3.0
0.455,0.991,0.381,0.481,0.097,3.303,8.0
0.337,0.608,0.177,0.112,0.106,3.254,8.0
0.024,0.0,0.01,0.305,0.038,3.083,8.0
0.091,0.627,0.145,0.065,0.076,2.905,8.0
